Season,nom_cpue,nom_cpue_median,nom_cpue_sd,std_cpue
2009/10,477.0897654822074,475.36,158.06995720463206,519.2933121609302
2010/11,539.9022911248995,536.7,210.73779083563625,656.0281252143876
2011/12,589.6662057419998,573.2530120481928,231.85182510587316,657.8462709450683
2012/13,496.1960960735798,470.37593984962405,164.5396869530312,543.6970603120174
2013/14,367.1755276363443,372.6,130.50936984156235,428.41078542753667
2014/15,393.4422618547778,379.2814371257485,136.98750407655726,421.5644948915733
2015/16,363.6053785984322,350.85714285714283,130.15392675696233,382.37303713879595
2016/17,367.1388066547138,378.26347305389226,124.8332739812655,415.18240811009105
2017/18,439.2905707453997,429.0419161676647,98.73404392011594,517.6210244648978
2018/19,576.6586474847836,572.7544910179641,144.79878504330838,628.4962355492985
2019/20,656.5362127995786,659.9,262.20628048154526,760.5806859233428
